id,name,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
452,General merchandise stores,13,1,3,4,1,5,1604,6,6,4,16,97,10,13,90,18,58,66,124,11,0,17,220,3,135,22,74,145,55,5,146,0,2,0,271,3,6,8,3,8,2,6,24,20,9,15,...,377,146,23,9,6,96,...,171,6,234,64,41,10,7,9,14,230,468,327,0,1,1,40,0
4A0,Other retail,145,8,17,95,4,292,73305,81,13,18,108,516,68,104,561,51,466,527,937,124,2,115,1394,182,3187,150,565,2089,355,660,1859,3,26,440,2153,74,40,428,20,49,12,26,156,123,57,89,...,3870,701,107,62,36,614,...,683,31,397,471,291,129,53,746,485,1547,3735,1978,2,20,6,521,0
481,Air transportation,220,16,27,43,160,451,1180,300,320,541,976,1063,264,110,967,558,238,447,1633,148,77,365,451,210,964,645,4248,229,90,302,804,3,27,188,1769,24,4,1248,121,887,256,1282,1621,2192,1794,1206,135,56,2049,660,1176,2004,5219,495,4011,500,1510,2425,609,401,407,219,632,280,1153,873,9103,1447,893,3275,126
482,Rail transportation,2033,62,329,3028,179,2011,1628,688,2822,6877,1698,1038,156,386,1396,547,293,322,5462,80,9,2277,166,3046,5267,1485,223,41,99,32,117,98,279,26,3216,15,13,75,26,35,4,365,57,18,8,120,0,51,816,66,51,29,871,48,327,90,106,435,367,62,96,21,75,170,638,162,662,320,680,1702,1695
483,Water transportation,1889,20,180,338,90,177,1704,24,457,994,105,86,47,100,82,69,24,84,3490,14,2,152,11,86,1423,54,86,32,62,20,36,69,32,18,177,9,23,34,3,4,1,50,17,4,2,2,0,32,125,25,1,5,3125,88,112,35,210,132,178,23,26,10,30,31,233,80,8071,150,716,995,178
484,Truck transportation,6293,441,446,687,625,405,14368,1838,2813,7293,3194,4438,1240,1221,6807,2460,1168,1562,22850,849,377,3081,704,4905,5850,2605,4234,1782,2595,3619,6399,379,376,271,3389,84,61,1345,197,1010,88,1771,1015,93,376,332,5,460,568,507,170,207,3444,512,1227,384,787,1462,1656,458,488,247,568,568,3546,1702,5861,414,655,5239,837
485,Transit and ground passenger transportation,...,4,1,7,43,82,253,81,85,146,276,287,45,18,190,105,64,158,324,31,18,91,125,62,130,150,460,43,5,2,108,1,330,0,1,...,1,4,2,256,65,446,731,1072,564,926,44,45,864,228,593,803,2461,164,1602,142,646,1138,952,390,100,1740,87,101,441,279,64,3,58,11504,81
486,Pipeline transportation,217,12,5844,41,20,6601,215,6,9,22,9,19,3,10,6,6,4,9,42,8,1,24,15,7180,283,19,32,7,5,2,18,253,64,65,386,33,68,70,7,2,0,4,2,8,2,0,0,1,21,14,1,3,25,13,57,13,12,15,53,13,7,3,10,10,22,30,192,11,299,637,2410
487OS,Other transportation and support activities,...,515,3,100,2,4751,6,263,307,60,19,5,0,1,6,0,220,46,156,36,...,162,152,191,34,125,34399,2117,932,2534,11455,16256,765,6313,26176,360,284,26293,1782,2242,765,198,3644,459,4253,1441,...,...,...,1938,1171,562,8431,117,3147,587,647,2518,3051,452,857,1232,379,158,479,1891,4,10,353,709,2278
493,Warehousing and storage,938,...,3,125,...,406,...,294,217,409,970,660,244,107,1074,729,206,831,761,258,133,289,429,305,595,402,17975,2989,6765,10824,15092,10,1,503,4204,70,4,3192,4889,479,147,293,751,...,694,225,...,2,107,323,230,114,1227,9,1059,87,119,587,779,127,192,220,100,440,906,495,416,89,...,3339,201
511,"Publishing industries, except internet (includes software)",49,3,33,1,3,71,176,5,6,15,92,54,76,7,41,135,9,37,22,7,7,4,43,7,36,13,652,85,22,25,353,9,48,0,12,4,0,30,31,38809,48,342,890,143,472,183,8,2,215,279,618,474,3915,1607,1196,7,553,858,624,71,301,33,36,52,48,592,912,755,1178,5976,71
512,Motion picture and sound recording industries,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,55,281,179,0,2,12,...,0,0,...,...,5,0,66,14384,43766,8,5,6,1,...,0,26,2,7,13,1338,191,39,...,643,30,10,957,538,483,51,152,686,406,1194,140,50,146,...
513,Broadcasting and telecommunications,386,14,236,109,329,235,3395,221,244,361,904,1023,594,142,579,735,366,528,973,169,123,284,335,331,646,422,12245,2076,761,519,7507,472,36,621,1036,516,66,669,805,1099,1018,111473,4018,2212,6065,2524,63,32,15746,2281,3725,4096,9129,7298,8017,397,2979,7254,5628,1187,1477,807,592,1027,2399,4476,3661,1789,1303,25070,169
514,"Data processing, internet publishing, and other information services",0,1,234,11,19,720,606,563,536,858,1544,1897,353,195,916,1828,426,849,1670,270,195,622,346,223,611,682,2982,1433,887,674,4801,496,1,0,23,42,37,91,45,2320,308,2567,4676,1849,17391,1651,271,3,1130,1144,2013,1439,7181,7826,8208,493,1400,1185,2791,209,300,418,369,297,2126,2748,2552,14197,2474,13415,1282
521CI,"Federal Reserve banks, credit intermediation, and related activities",5678,189,1129,528,929,4768,4615,446,809,1672,2003,1917,688,321,1563,865,446,1068,3676,487,304,499,473,566,1369,1391,15278,2751,2415,784,12093,701,2217,175,2538,988,114,643,439,2024,803,3752,1721,50800,21443,13277,1596,29602,17538,14735,3490,3605,14602,13642,6150,326,2961,8035,3159,2177,894,686,2104,1412,3439,6969,425,285,4122,12183,8740
523,"Securities, commodity contracts, and investments",247,144,351,802,1324,714,2276,48,136,1525,1460,1594,155,182,1203,768,337,742,488,54,37,51,137,106,101,205,2361,369,400,52,1726,248,2113,918,735,169,60,236,89,544,183,598,263,34041,38442,4685,73860,44,2648,1260,1513,656,3706,7318,2279,78,748,2610,15961,840,2893,352,260,1536,1148,20034,10,52,136,28425,4294
524,Insurance carriers and related activities,6241,202,899,524,764,151,68,181,333,632,651,1030,290,359,914,300,194,368,490,315,806,183,163,217,984,287,19427,3012,1393,518,6631,280,22,1250,6379,2917,168,2061,721,734,797,827,700,6114,9013,263591,2208,8733,11928,4096,4691,1242,8525,1766,7034,1253,1259,30397,45061,2763,2271,2581,2027,2079,4847,3243,1,2432,3542,187,1079
525,"Funds, trusts, and other financial vehicles",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2983,4737,1557,...,...,...,...,...,...,4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
HS,Housing Services,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...
ORE,Other Real Estate,2622,55,207,54,112,1981,5788,184,149,227,850,635,2150,173,530,556,215,384,621,164,126,194,237,85,1921,315,44792,11940,14126,12804,68328,1703,256,2207,3789,351,173,3838,9338,2890,1557,21552,8130,2685,17095,6938,715,28648,118101,7275,12345,9576,42646,18140,14787,2200,37935,61622,31006,24112,17421,7932,11124,6471,33954,42121,4750,7672,1358,42551,4465
532RL,Rental and leasing services and lessors of intangible assets,3658,213,4710,2007,2997,732,17425,395,738,1545,3129,3390,1574,601,3612,2536,253,1948,4885,269,428,1119,830,1478,5138,1067,15920,1082,1418,827,9223,6947,2453,65,8414,1499,11,1918,809,2972,1477,10928,7240,737,3590,2217,17,22,3702,4676,2186,5417,11811,22717,5337,1546,4008,8128,9639,880,619,2106,1466,1909,7029,3283,715,287,559,8876,642
5411,Legal services,623,131,3633,855,1934,2523,4107,264,306,594,882,1654,4044,290,1477,1330,204,1361,1244,194,120,338,305,507,3985,569,8691,566,452,381,2917,1312,783,333,85,409,83,411,466,1562,651,5166,1958,2703,5149,8494,857,1014,5977,5172,2782,3453,14835,12240,4370,303,640,5458,12941,1059,761,1772,1843,2409,2168,2591,1428,511,1209,10784,987
5415,Computer systems design and related services,567,54,4581,166,47,918,1956,217,191,460,2811,4265,1841,82,836,2986,158,521,1007,156,119,238,653,1874,824,387,6358,1361,442,330,3634,419,1248,25,113,60,13,224,343,4142,683,3357,7626,1416,6099,2469,210,353,4968,7926,3157,4027,10434,19536,6921,146,1867,3623,7655,944,722,333,680,385,1408,1979,5125,25832,380,14321,2122
5412OP,"Miscellaneous professional, scientific, and technical services",2139,889,2503,2002,3668,6989,29371,2170,2318,5823,8508,7888,7285,1349,6763,6669,2157,6468,12055,1801,1636,2499,2472,2488,10678,4360,73141,15075,7635,6462,54670,1670,3157,2942,2133,2125,1276,1943,2946,10040,4383,58133,22412,16235,26774,18363,2098,1434,22477,17771,9284,19702,129422,65582,30604,2025,9586,32743,35610,6603,5024,7838,8270,10060,21921,17817,23101,24363,3608,51943,18689
55,Management of companies and enterprises,...,...,9864,2415,1887,3,2321,3297,3897,6578,8261,10546,6952,2436,40625,19040,1474,8329,32338,3377,1863,5827,2682,21101,41157,5493,65059,639,3984,20534,19534,392,0,660,3691,251,0,2299,513,2847,290,2085,2157,7262,12965,3476,153,83,3791,2486,5459,4040,13099,8,17775,2000,2536,25217,9423,2982,2347,2273,1729,11637,40573,5933,...,...,...,...,...
561,Administrative and support services,822,84,406,465,1124,3117,4474,885,1092,3846,5928,2951,2705,523,2950,5235,422,1445,3841,540,2120,1448,2425,1555,3031,1565,36369,3796,3142,1320,16502,1982,1564,1473,4694,1473,426,4677,2908,5279,1334,10392,6468,7581,9448,11275,153,4599,149825,16027,8865,24534,41080,10472,24472,3355,5253,27966,32196,5457,2928,3939,2816,4852,6773,9293,12868,4419,2995,34403,6480
562,Waste management and remediation services,27,16,1543,267,145,375,1952,181,258,585,649,415,154,100,553,380,126,227,1725,222,62,368,153,1203,2194,363,1666,790,566,228,1409,160,101,3548,367,1721,70,996,408,51,39,270,101,6,233,630,...,157,12172,778,90,112,1576,845,1453,9564,948,1977,2137,886,529,162,567,1006,1771,1262,608,115,185,18835,3388
